product_name,category,unit_size,batch_id,production_date,total_weight_kg,in_stock_quantity,price_per_unit,cost_per_unit,operator_name,print_count,printed_by
Mango Pickle,Pickle,1kg,B01995,2024-11-22,72.0,72,146.62,110.52,Neha,137,Printer_A
Green Chilly Pickle,Pickle,50gm,B01996,2023-09-28,6.4,128,90.33,76.95,Ravi,150,Printer_A
Tikhat Mirchi Powder,Masala,500gm,B01997,2025-08-06,34.0,68,66.59,43.8,Ravi,198,Printer_A
Green Chilly Pickle,Pickle,500gm,B01998,2025-11-03,55.5,111,91.58,74.6,Seema,21,Printer_B
Maruti Mix Pickle,Pickle,50gm,B01999,2024-02-15,3.4,68,86.6,57.87,Neha,114,Printer_A
Karala Chatani,Chutney,50gm,B02000,2024-03-04,4.65,93,39.04,27.83,Ravi,130,Printer_B
Panipuri Chatani,Chutney,1kg,B02001,2025-08-09,115.0,115,71.16,63.79,Ravi,298,Printer_B
8+2 Mirchi Powder,Masala,100gm,B02002,2023-01-22,12.1,121,69.51,35.85,Ajay,29,Printer_B
Chat Masala,Masala,500gm,B02003,2024-03-01,29.5,59,60.57,42.74,Priya,32,Printer_C
8+2 Mirchi Powder,Masala,200gm,B02004,2025-04-16,20.0,100,92.59,59.02,Seema,146,Printer_A
Green Chilly Pickle,Pickle,100gm,B02005,2023-10-26,12.7,127,52.12,31.89,Ravi,32,Printer_C
Kolhapuri Thecha,Thecha,500gm,B02006,2025-12-16,29.0,58,35.65,21.6,Sunil,34,Printer_B
Kitchen King Masala,Masala,1kg,B02007,2024-07-16,111.0,111,86.13,67.33,Priya,201,Printer_C
Khobra Lasun Chatani,Chutney,1kg,B02008,2025-02-24,87.0,87,84.85,58.3,Priya,218,Printer_A
Chunda,Pickle,200gm,B02009,2024-12-25,19.8,99,31.26,25.9,Seema,263,Printer_C
Mix Pickle,Pickle,200gm,B02010,2024-02-09,29.2,146,98.21,82.26,Neha,180,Printer_B
Green Chilly Pickle,Pickle,500gm,B02011,2025-11-06,42.5,85,87.24,62.53,Neha,185,Printer_C
Karala Chatani,Chutney,100gm,B02012,2025-05-21,5.5,55,139.06,116.19,Sunil,91,Printer_C
Garam Masala,Masala,100gm,B02013,2025-06-27,17.0,170,103.81,80.77,Ajay,67,Printer_C
Lemon Pickle,Pickle,1kg,B02014,2023-08-09,105.0,105,141.72,87.18,Neha,94,Printer_C
Kashmiri Mirchi Powder,Masala,200gm,B02015,2024-02-24,20.6,103,136.85,92.9,Sunil,201,Printer_C
Javas Chatani,Chutney,1kg,B02016,2025-11-08,70.0,70,99.58,68.19,Priya,218,Printer_C
Maruti Mango Pickle,Pickle,50gm,B02017,2023-09-15,7.1,142,128.84,104.71,Ravi,106,Printer_C
Haldi Powder,Masala,1kg,B02018,2023-07-03,52.0,52,128.47,92.2,Sunil,166,Printer_A
Maruti Mix Pickle,Pickle,200gm,B02019,2023-08-04,17.8,89,48.54,35.52,Neha,107,Printer_A
Haldi Powder,Masala,200gm,B02020,2023-03-27,20.8,104,38.92,24.7,Sunil,46,Printer_A
Kolhapuri Jhatka,Masala,50gm,B02021,2024-12-22,8.85,177,66.39,52.45,Ajay,163,Printer_B
Chicken Masala,Masala,100gm,B02022,2024-06-19,13.6,136,77.15,52.28,Neha,31,Printer_C
Mango Pickle,Pickle,50gm,B02023,2024-05-01,6.8,136,125.3,98.68,Seema,252,Printer_B
Maruti Mango Pickle,Pickle,50gm,B02024,2024-10-20,3.4,68,143.8,90.22,Neha,261,Printer_A
Meat Masala,Masala,500gm,B02025,2023-07-18,56.0,112,103.22,91.11,Ravi,135,Printer_C
Kolhapuri Thecha,Thecha,50gm,B02026,2024-06-11,6.1,122,31.7,21.47,Seema,250,Printer_A
Chatpata Masala,Masala,1kg,B02027,2025-11-07,112.0,112,112.6,92.85,Priya,58,Printer_A
Green Chilly Pickle,Pickle,1kg,B02028,2025-11-17,148.0,148,149.45,87.62,Ajay,267,Printer_A
Mango Pickle,Pickle,1kg,B02029,2024-11-18,120.0,120,94.0,67.84,Priya,34,Printer_B
Chunda,Pickle,1kg,B02030,2024-03-15,94.0,94,36.68,23.43,Seema,93,Printer_A
Sunday Kala Masala,Masala,200gm,B02031,2024-02-05,15.8,79,89.8,70.13,Neha,49,Printer_A
Mango Pickle,Pickle,100gm,B02032,2023-06-24,12.2,122,62.6,39.51,Sunil,100,Printer_B
Tikha & Lal Mirchi Powder,Masala,100gm,B02033,2023-05-22,11.8,118,91.82,82.37,Priya,262,Printer_A
Sweet N Hot Lemon Pickle,Pickle,50gm,B02034,2023-03-05,3.05,61,46.0,39.36,Sunil,298,Printer_A
Chat Masala,Masala,200gm,B02035,2025-06-23,24.8,124,50.46,36.1,Priya,198,Printer_C
Mix Pickle,Pickle,500gm,B02036,2024-01-14,64.0,128,33.47,22.49,Priya,226,Printer_A
8+2 Mirchi Powder,Masala,200gm,B02037,2025-05-13,21.4,107,88.1,65.04,Ajay,134,Printer_A
Garam Masala,Masala,100gm,B02038,2023-08-22,13.5,135,125.6,88.1,Seema,289,Printer_B
Lemon Pickle,Pickle,500gm,B02039,2023-12-22,34.5,69,58.59,39.1,Seema,221,Printer_A
Lemon Pickle,Pickle,100gm,B02040,2023-02-05,5.0,50,58.32,37.5,Sunil,210,Printer_A
Meat Masala,Masala,1kg,B02041,2023-02-22,145.0,145,107.8,81.21,Seema,281,Printer_A
Tikhat Mirchi Powder,Masala,100gm,B02042,2024-12-28,9.7,97,131.38,68.83,Ajay,119,Printer_A
Green Chilly Pickle,Pickle,500gm,B02043,2024-03-06,85.5,171,133.61,72.39,Ajay,287,Printer_A
Garam Masala,Masala,100gm,B02044,2025-02-25,14.2,142,59.3,43.59,Ravi,272,Printer_A
Lime Chilly Pickle,Pickle,100gm,B02045,2025-10-27,14.4,144,116.16,82.66,Priya,125,Printer_B
Biryani Pulav Masala,Masala,500gm,B02046,2023-11-25,48.5,97,45.77,26.49,Ajay,108,Printer_C
Lasun Pickle,Pickle,200gm,B02047,2024-07-27,11.6,58,134.05,90.24,Neha,75,Printer_B
Green Chilly Pickle,Pickle,1kg,B02048,2024-09-25,100.0,100,144.98,97.76,Priya,133,Printer_C
Mango Pickle,Pickle,500gm,B02049,2023-06-01,85.5,171,112.81,84.75,Ajay,297,Printer_A
Sweet N Hot Lemon Pickle,Pickle,100gm,B02050,2025-01-09,14.3,143,83.21,49.62,Ajay,247,Printer_C
Chatpata Thecha,Thecha,200gm,B02051,2024-11-20,31.4,157,112.53,65.5,Ajay,167,Printer_B
Mango Pickle,Pickle,500gm,B02052,2025-08-18,34.5,69,57.64,36.42,Neha,80,Printer_B
Dal Tadka Masala,Masala,500gm,B02053,2024-08-20,64.0,128,76.35,53.91,Priya,138,Printer_C
Misal Masala,Masala,200gm,B02054,2024-09-08,21.2,106,35.75,31.62,Seema,175,Printer_A
Lime Chilly Pickle,Pickle,200gm,B02055,2024-03-11,25.8,129,30.82,22.47,Ajay,220,Printer_B
Misal Masala,Masala,500gm,B02056,2025-09-25,33.5,67,123.52,93.47,Priya,81,Printer_C
Sunday Kala Masala,Masala,200gm,B02057,2025-08-11,13.2,66,58.99,47.45,Seema,246,Printer_C
Mango Pickle,Pickle,50gm,B02058,2025-10-10,7.2,144,131.99,94.28,Priya,115,Printer_C
Chatpata Thecha,Thecha,200gm,B02059,2023-11-26,22.6,113,37.69,25.59,Ajay,135,Printer_B
Mango Pickle,Pickle,200gm,B02060,2025-07-11,21.4,107,63.39,45.55,Ravi,46,Printer_B
Garam Masala,Masala,500gm,B02061,2025-12-01,32.0,64,33.64,28.7,Ravi,140,Printer_B
Mango Pickle,Pickle,1kg,B02062,2025-11-17,81.0,81,56.11,35.92,Priya,111,Printer_B
Tikha & Lal Mirchi Powder,Masala,500gm,B02063,2025-12-20,61.5,123,44.28,27.48,Ravi,233,Printer_B
Tikhat Mirchi Powder,Masala,100gm,B02064,2023-02-25,14.2,142,71.74,56.39,Sunil,37,Printer_A
Mithi Chatani,Chutney,200gm,B02065,2023-08-09,23.0,115,45.08,30.97,Ravi,59,Printer_C
Green Chilly Pickle,Pickle,100gm,B02066,2023-12-19,6.6,66,62.54,51.79,Ravi,67,Printer_B
udad dal papad,Papad,200gm,B02067,2024-06-08,29.0,145,114.48,76.16,Seema,146,Printer_C
Kitchen King Masala,Masala,100gm,B02068,2023-01-19,13.2,132,46.72,40.17,Seema,122,Printer_A
Chatpata Thecha,Thecha,500gm,B02069,2023-08-01,36.5,73,144.56,121.44,Neha,56,Printer_C
Maruti Mango Pickle,Pickle,200gm,B02070,2024-02-08,17.8,89,115.99,82.07,Neha,123,Printer_A
Mango Pickle,Pickle,100gm,B02071,2023-12-09,10.5,105,90.71,75.59,Ravi,132,Printer_C
Tikhat Mirchi Powder,Masala,1kg,B02072,2025-11-15,117.0,117,119.59,72.21,Seema,61,Printer_A
Biryani Pulav Masala,Masala,500gm,B02073,2024-03-13,27.5,55,112.47,78.04,Neha,204,Printer_A
Mix Pickle,Pickle,200gm,B02074,2023-11-16,35.6,178,106.28,84.8,Ajay,278,Printer_B
Chatpata Masala,Masala,500gm,B02075,2025-09-27,78.0,156,79.1,47.37,Ajay,115,Printer_B
Garam Masala,Masala,50gm,B02076,2025-11-22,6.1,122,133.95,84.82,Ajay,216,Printer_A
Kashmiri Mirchi Powder,Masala,200gm,B02077,2024-04-23,20.8,104,133.47,112.76,Seema,128,Printer_B
Murabba,Pickle,500gm,B02078,2023-10-19,30.5,61,117.24,94.72,Seema,43,Printer_B
Sweet N Hot Lemon Pickle,Pickle,50gm,B02079,2024-08-12,5.9,118,36.31,19.29,Ajay,261,Printer_B
Lasun Pickle,Pickle,500gm,B02080,2023-06-12,30.5,61,93.78,69.15,Seema,197,Printer_B
Mango Pickle,Pickle,100gm,B02081,2023-11-21,13.6,136,120.22,80.61,Ajay,281,Printer_A
Mithi Chatani,Chutney,500gm,B02082,2024-01-08,47.0,94,30.25,20.52,Ravi,91,Printer_A
Green Chilly Pickle,Pickle,1kg,B02083,2023-04-17,139.0,139,99.52,86.25,Neha,241,Printer_A
Sunday Kala Masala,Masala,500gm,B02084,2024-11-06,52.5,105,95.63,77.88,Seema,169,Printer_A
Mango Pickle,Pickle,100gm,B02085,2023-09-19,11.6,116,36.14,24.21,Priya,100,Printer_B
Lemon Pickle,Pickle,500gm,B02086,2023-04-26,60.0,120,65.57,57.63,Neha,49,Printer_A
Jai Ho Mango Pickle,Pickle,200gm,B02087,2023-08-25,28.4,142,90.5,54.01,Ajay,198,Printer_C
Garam Masala,Masala,1kg,B02088,2023-04-01,129.0,129,83.54,55.65,Ajay,97,Printer_B
Mango Pickle,Pickle,50gm,B02089,2025-07-02,5.9,118,141.33,107.45,Ajay,95,Printer_A
Mango Pickle,Pickle,100gm,B02090,2023-11-27,10.2,102,42.75,31.33,Ajay,152,Printer_B
Kolhapuri Jhatka,Masala,100gm,B02091,2025-02-08,5.1,51,137.97,108.79,Seema,31,Printer_A
sabudana papad,Papad,100gm,B02092,2023-04-17,12.8,128,107.27,91.21,Sunil,212,Printer_C
Mix Pickle,Pickle,500gm,B02093,2025-07-21,43.0,86,121.77,82.76,Neha,191,Printer_C
Lime Chilly Pickle,Pickle,500gm,B02094,2024-08-14,27.0,54,34.13,27.02,Seema,265,Printer_A
Chatpata Thecha,Thecha,100gm,B02095,2023-09-12,8.6,86,82.2,56.54,Neha,69,Printer_C
Khobra Lasun Chatani,Chutney,500gm,B02096,2024-05-01,29.5,59,61.81,45.1,Seema,111,Printer_A
Kashmiri Mirchi Powder,Masala,100gm,B02097,2024-11-26,9.3,93,125.4,81.39,Sunil,81,Printer_C
Chatpata Thecha,Thecha,500gm,B02098,2023-02-08,51.5,103,100.2,74.81,Neha,139,Printer_B
Chicken Masala,Masala,500gm,B02099,2024-11-15,25.5,51,93.38,69.12,Ravi,36,Printer_A
Papad,Papad,50gm,B02100,2024-06-12,6.9,138,139.28,87.84,Ajay,207,Printer_C
Panipuri Chatani,Chutney,50gm,B02101,2025-04-27,6.2,124,119.08,82.51,Ajay,254,Printer_A
Javas Chatani,Chutney,500gm,B02102,2023-05-07,71.5,143,43.49,26.74,Seema,269,Printer_A
Haldi Powder,Masala,50gm,B02103,2023-10-18,2.8,56,46.28,31.38,Seema,22,Printer_C
Kashmiri Mirchi Powder,Masala,1kg,B02104,2024-01-13,117.0,117,76.4,57.02,Ajay,245,Printer_B
Green Chilly Pickle,Pickle,200gm,B02105,2024-01-17,20.4,102,130.2,105.87,Priya,234,Printer_B
Chat Masala,Masala,1kg,B02106,2023-09-18,144.0,144,98.66,86.79,Sunil,299,Printer_C
8+2 Mirchi Powder,Masala,100gm,B02107,2024-05-23,13.3,133,106.69,64.26,Ajay,146,Printer_A
Garam Masala,Masala,100gm,B02108,2023-09-09,8.3,83,85.68,63.12,Ajay,31,Printer_A
Tikhat Mirchi Powder,Masala,100gm,B02109,2023-06-07,10.8,108,141.68,71.89,Ajay,87,Printer_B
Lemon Pickle,Pickle,200gm,B02110,2023-01-03,21.4,107,39.0,26.01,Seema,29,Printer_B
Lasun Pickle,Pickle,50gm,B02111,2023-07-06,4.4,88,146.93,131.16,Neha,262,Printer_A
Dhana Powder,Masala,500gm,B02112,2024-09-12,70.0,140,41.01,32.98,Neha,142,Printer_C
Lemon Pickle,Pickle,200gm,B02113,2025-09-17,22.8,114,91.71,69.86,Ravi,276,Printer_C
Misal Masala,Masala,1kg,B02114,2023-04-01,107.0,107,147.9,114.41,Ajay,149,Printer_B
Javas Chatani,Chutney,200gm,B02115,2024-12-13,26.6,133,34.79,24.66,Ravi,163,Printer_B
Garam Masala,Masala,100gm,B02116,2025-04-26,13.1,131,37.71,29.33,Seema,137,Printer_B
Khobra Lasun Chatani,Chutney,50gm,B02117,2025-08-12,7.65,153,36.61,22.99,Ajay,214,Printer_B
Lime Chilly Pickle,Pickle,200gm,B02118,2023-04-20,27.8,139,124.11,97.31,Ajay,43,Printer_B
Karala Chatani,Chutney,50gm,B02119,2024-06-14,6.25,125,77.76,68.39,Ravi,252,Printer_A
Dal Tadka Masala,Masala,200gm,B02120,2023-05-16,23.8,119,139.67,124.91,Neha,261,Printer_B
Chunda,Pickle,500gm,B02121,2024-11-10,27.0,54,72.63,58.45,Seema,94,Printer_B
Garam Masala,Masala,200gm,B02122,2025-06-03,27.8,139,115.84,78.82,Ravi,52,Printer_C
Haldi Powder,Masala,1kg,B02123,2024-07-03,121.0,121,71.17,56.94,Neha,87,Printer_A
Haldi Powder,Masala,100gm,B02124,2023-02-27,9.5,95,34.78,23.63,Ajay,192,Printer_C
Lime Chilly Pickle,Pickle,50gm,B02125,2023-12-11,5.05,101,115.89,103.36,Ravi,52,Printer_A
Green Chilly Pickle,Pickle,100gm,B02126,2023-12-27,12.9,129,85.12,53.04,Neha,65,Printer_B
Chunda,Pickle,1kg,B02127,2025-01-20,103.0,103,118.42,88.85,Seema,43,Printer_B
Murabba,Pickle,200gm,B02128,2023-09-23,28.2,141,80.56,60.55,Ajay,264,Printer_C
Kashmiri Mirchi Powder,Masala,200gm,B02129,2023-06-11,12.0,60,72.23,53.01,Priya,252,Printer_B
Kitchen King Masala,Masala,1kg,B02130,2024-04-23,120.0,120,53.1,33.48,Sunil,224,Printer_A
Chatpata Thecha,Thecha,200gm,B02131,2025-05-08,28.4,142,33.0,23.64,Ajay,89,Printer_A
Dhana Powder,Masala,1kg,B02132,2023-02-15,57.0,57,131.25,96.0,Ravi,47,Printer_B
Maruti Mix Pickle,Pickle,200gm,B02133,2025-04-16,34.4,172,95.58,50.41,Ajay,72,Printer_C
Green Chilly Pickle,Pickle,1kg,B02134,2025-08-23,75.0,75,120.37,98.49,Seema,252,Printer_C
Kanda Lasun Masala,Masala,100gm,B02135,2024-03-03,8.5,85,52.59,34.46,Ravi,139,Printer_B
Garam Masala,Masala,500gm,B02136,2024-09-13,67.5,135,143.74,103.35,Sunil,175,Printer_B
Garam Masala,Masala,200gm,B02137,2025-12-14,28.4,142,32.1,19.73,Priya,300,Printer_C
Garam Masala,Masala,100gm,B02138,2024-06-16,8.7,87,54.34,48.88,Neha,181,Printer_A
Tikha & Lal Mirchi Powder,Masala,100gm,B02139,2023-07-16,12.2,122,64.09,57.58,Neha,113,Printer_C
Garam Masala,Masala,50gm,B02140,2023-09-23,7.8,156,33.19,23.92,Ajay,200,Printer_B
Haldi Powder,Masala,500gm,B02141,2025-03-05,61.0,122,130.61,93.35,Ajay,268,Printer_B
Mix Pickle,Pickle,1kg,B02142,2025-09-20,142.0,142,111.03,73.48,Seema,30,Printer_B
Papad,Papad,1kg,B02143,2025-04-25,115.0,115,64.06,45.36,Ajay,155,Printer_B
Kanda Lasun Masala,Masala,1kg,B02144,2025-12-03,145.0,145,111.14,84.2,Ajay,223,Printer_B
Karala Chatani,Chutney,1kg,B02145,2025-04-11,50.0,50,39.29,29.62,Sunil,124,Printer_B
Misal Masala,Masala,50gm,B02146,2023-10-19,3.7,74,42.68,36.02,Seema,145,Printer_A
Mix Pickle,Pickle,50gm,B02147,2023-12-15,5.35,107,104.19,86.94,Seema,11,Printer_B
Tikha & Lal Mirchi Powder,Masala,50gm,B02148,2024-08-18,6.55,131,130.13,80.27,Neha,18,Printer_C
Panipuri Chatani,Chutney,200gm,B02149,2025-09-16,17.2,86,89.67,79.37,Neha,119,Printer_C
Green Chilly Pickle,Pickle,200gm,B02150,2023-11-13,26.6,133,106.85,74.18,Priya,178,Printer_A
Lemon Pickle,Pickle,100gm,B02151,2023-10-03,8.0,80,33.96,26.7,Ajay,135,Printer_B
Kanda Lasun Masala,Masala,100gm,B02152,2025-10-06,5.2,52,115.47,75.38,Priya,141,Printer_B
Garam Masala,Masala,500gm,B02153,2023-10-12,67.5,135,104.55,64.24,Ravi,157,Printer_B
sabudana papad,Papad,1kg,B02154,2025-01-05,126.0,126,55.41,35.64,Neha,11,Printer_A
8+2 Mirchi Powder,Masala,200gm,B02155,2023-02-15,22.8,114,147.13,83.38,Ajay,266,Printer_C
Mango Pickle,Pickle,50gm,B02156,2024-10-09,3.25,65,120.45,81.43,Sunil,192,Printer_A
Kitchen King Masala,Masala,500gm,B02157,2023-08-09,64.0,128,48.81,39.29,Sunil,54,Printer_A
Garam Masala,Masala,200gm,B02158,2023-08-23,12.0,60,129.92,97.18,Priya,255,Printer_C
Kitchen King Masala,Masala,200gm,B02159,2024-11-14,23.4,117,83.76,60.44,Ravi,272,Printer_B
Kashmiri Mirchi Powder,Masala,100gm,B02160,2025-09-25,5.9,59,30.28,27.11,Priya,44,Printer_C
Kashmiri Mirchi Powder,Masala,500gm,B02161,2025-10-13,60.0,120,72.55,48.56,Ajay,198,Printer_A
Khobra Lasun Chatani,Chutney,50gm,B02162,2024-03-19,6.9,138,84.94,49.07,Ajay,200,Printer_C
Dal Tadka Masala,Masala,50gm,B02163,2024-11-03,4.9,98,137.5,86.77,Ravi,59,Printer_C
Mango Pickle,Pickle,50gm,B02164,2025-02-16,6.4,128,54.67,42.87,Priya,292,Printer_C
Maruti Mix Pickle,Pickle,50gm,B02165,2025-11-26,4.05,81,146.2,107.58,Sunil,172,Printer_A
Tikhat Mirchi Powder,Masala,500gm,B02166,2024-01-04,42.5,85,52.83,39.95,Ravi,163,Printer_C
Papad,Papad,100gm,B02167,2025-04-13,10.9,109,52.6,36.35,Neha,153,Printer_B
Mithi Chatani,Chutney,50gm,B02168,2025-05-16,5.15,103,70.28,54.28,Seema,163,Printer_B
Kanda Lasun Masala,Masala,200gm,B02169,2024-03-03,25.8,129,80.75,67.72,Neha,278,Printer_C
Murabba,Pickle,50gm,B02170,2024-02-09,5.0,100,45.64,36.19,Sunil,172,Printer_A
Garam Masala,Masala,100gm,B02171,2025-11-08,10.2,102,95.4,59.72,Ravi,169,Printer_C
Maruti Mix Pickle,Pickle,50gm,B02172,2025-08-19,5.05,101,128.58,90.81,Neha,289,Printer_B
Khobra Lasun Chatani,Chutney,200gm,B02173,2023-12-25,18.0,90,73.91,49.43,Neha,169,Printer_B
Goda Masala,Masala,200gm,B02174,2024-10-05,29.8,149,111.92,88.26,Ravi,12,Printer_A
Shengdana Chatani,Chutney,50gm,B02175,2024-11-13,4.4,88,42.33,27.58,Priya,145,Printer_A
Chunda,Pickle,1kg,B02176,2023-02-06,66.0,66,136.92,105.54,Seema,63,Printer_C
Hirva Thecha,Thecha,500gm,B02177,2023-10-05,61.0,122,80.97,56.88,Seema,270,Printer_A
sabudana papad,Papad,50gm,B02178,2025-08-09,2.55,51,113.01,90.67,Priya,106,Printer_B
Lemon Pickle,Pickle,50gm,B02179,2024-03-22,6.9,138,112.28,63.76,Ajay,280,Printer_B
Dal Tadka Masala,Masala,500gm,B02180,2025-06-19,53.5,107,59.23,49.73,Seema,137,Printer_C
Mithi Chatani,Chutney,50gm,B02181,2025-06-21,4.5,90,123.68,107.98,Priya,10,Printer_A
Biryani Pulav Masala,Masala,100gm,B02182,2025-04-05,6.5,65,83.8,62.58,Priya,71,Printer_C
Kolhapuri Jhatka,Masala,50gm,B02183,2023-12-24,3.15,63,82.53,57.2,Ravi,46,Printer_C
Chicken Masala,Masala,100gm,B02184,2024-12-19,13.0,130,41.8,30.71,Ravi,117,Printer_C
Garam Masala,Masala,50gm,B02185,2024-02-07,6.1,122,50.97,38.86,Ajay,85,Printer_C
Green Chilly Pickle,Pickle,50gm,B02186,2024-05-14,4.4,88,104.89,67.36,Ajay,275,Printer_C
Misal Masala,Masala,100gm,B02187,2025-02-13,9.7,97,62.16,48.09,Ajay,134,Printer_B
Mango Pickle,Pickle,200gm,B02188,2024-01-01,31.4,157,71.94,42.78,Ajay,91,Printer_A
Jai Ho Mango Pickle,Pickle,50gm,B02189,2025-07-10,4.55,91,33.37,23.78,Seema,66,Printer_B
Garam Masala,Masala,200gm,B02190,2023-06-01,32.2,161,84.93,44.9,Ajay,281,Printer_A
Chunda,Pickle,200gm,B02191,2024-09-15,25.8,129,142.25,127.16,Seema,151,Printer_B
Papad,Papad,200gm,B02192,2023-07-15,22.2,111,50.88,31.23,Neha,18,Printer_A
Green Chilly Pickle,Pickle,500gm,B02193,2023-12-18,80.5,161,139.51,77.18,Ajay,84,Printer_A
Misal Masala,Masala,200gm,B02194,2025-04-04,27.6,138,126.66,78.91,Seema,274,Printer_B
Maruti Mango Pickle,Pickle,50gm,B02195,2023-08-04,6.35,127,111.47,74.8,Seema,154,Printer_B
Hirva Thecha,Thecha,1kg,B02196,2025-08-17,57.0,57,90.35,75.76,Neha,264,Printer_C
Haldi Powder,Masala,50gm,B02197,2024-10-25,5.9,118,147.29,130.99,Priya,300,Printer_B
Haldi Powder,Masala,100gm,B02198,2023-02-10,8.1,81,118.12,89.36,Sunil,227,Printer_B
Green Chilly Pickle,Pickle,200gm,B02199,2025-03-13,25.0,125,123.81,81.85,Priya,299,Printer_C
Kitchen King Masala,Masala,500gm,B02200,2024-09-08,54.5,109,41.1,25.48,Ajay,182,Printer_B
Mango Pickle,Pickle,100gm,B02201,2025-05-08,8.2,82,105.56,65.96,Ajay,297,Printer_A
Green Chilly Pickle,Pickle,50gm,B02202,2025-12-08,4.6,92,138.73,75.1,Ajay,32,Printer_A
Mango Pickle,Pickle,1kg,B02203,2025-01-22,136.0,136,63.78,39.61,Neha,290,Printer_B
Sweet N Hot Lemon Pickle,Pickle,100gm,B02204,2025-03-12,9.0,90,108.95,89.15,Ravi,141,Printer_A
Karala Chatani,Chutney,500gm,B02205,2023-12-21,48.0,96,141.45,105.95,Priya,240,Printer_A
Goda Masala,Masala,100gm,B02206,2025-02-26,11.8,118,83.51,67.86,Seema,284,Printer_C
Green Chilly Pickle,Pickle,100gm,B02207,2023-07-09,10.5,105,50.88,36.04,Priya,13,Printer_B
Hirva Thecha,Thecha,100gm,B02208,2024-11-04,7.9,79,38.48,27.26,Ravi,127,Printer_C
Misal Masala,Masala,500gm,B02209,2025-05-12,52.0,104,65.98,40.27,Sunil,294,Printer_C
Garam Masala,Masala,50gm,B02210,2025-08-22,5.3,106,127.93,93.34,Seema,98,Printer_A
Malvani Masala,Masala,50gm,B02211,2025-03-27,4.6,92,76.84,66.64,Seema,77,Printer_B
Mango Pickle,Pickle,500gm,B02212,2023-09-02,62.5,125,79.31,61.96,Ravi,114,Printer_B
Green Chilly Pickle,Pickle,200gm,B02213,2025-06-23,29.4,147,80.09,51.52,Ravi,91,Printer_B
Meat Masala,Masala,100gm,B02214,2024-01-06,10.1,101,32.0,27.59,Sunil,225,Printer_A
Dhana Powder,Masala,100gm,B02215,2023-01-14,10.8,108,83.96,59.07,Ravi,127,Printer_C
Hirva Thecha,Thecha,200gm,B02216,2025-08-18,15.8,79,90.73,58.86,Neha,281,Printer_C
Khobra Lasun Chatani,Chutney,1kg,B02217,2024-11-06,122.0,122,53.08,43.27,Sunil,282,Printer_C
Lime Chilly Pickle,Pickle,500gm,B02218,2024-03-27,34.0,68,78.81,65.31,Sunil,152,Printer_B
Kolhapuri Jhatka,Masala,100gm,B02219,2025-11-27,12.1,121,112.77,99.65,Ravi,217,Printer_B
Meat Masala,Masala,1kg,B02220,2024-12-28,145.0,145,100.39,73.95,Priya,74,Printer_A
Malvani Masala,Masala,1kg,B02221,2023-08-13,99.0,99,30.9,22.46,Neha,79,Printer_A
Mango Pickle,Pickle,1kg,B02222,2023-11-08,90.0,90,47.46,40.98,Neha,270,Printer_C
Mix Pickle,Pickle,50gm,B02223,2023-08-03,8.8,176,57.96,43.12,Ajay,285,Printer_A
Kolhapuri Jhatka,Masala,200gm,B02224,2025-02-06,15.0,75,51.35,36.23,Ravi,261,Printer_A
Garam Masala,Masala,100gm,B02225,2025-09-17,14.1,141,38.32,29.64,Ravi,236,Printer_A
Chat Masala,Masala,1kg,B02226,2023-10-11,84.0,84,61.0,46.37,Ajay,151,Printer_B
Kanda Lasun Masala,Masala,50gm,B02227,2023-10-23,4.1,82,94.95,58.48,Ravi,25,Printer_A
Chatpata Masala,Masala,1kg,B02228,2023-02-07,97.0,97,54.51,37.51,Ajay,60,Printer_B
Jai Ho Mango Pickle,Pickle,1kg,B02229,2025-06-26,65.0,65,114.25,85.94,Priya,23,Printer_C
Garam Masala,Masala,200gm,B02230,2024-06-04,19.4,97,88.31,67.98,Sunil,268,Printer_C
Sunday Kala Masala,Masala,200gm,B02231,2024-03-18,11.0,55,126.1,92.73,Sunil,286,Printer_B
Sunday Kala Masala,Masala,1kg,B02232,2023-03-27,137.0,137,101.3,82.64,Sunil,266,Printer_C
Jai Ho Mango Pickle,Pickle,200gm,B02233,2024-07-17,34.2,171,53.08,33.93,Ajay,23,Printer_A
Murabba,Pickle,50gm,B02234,2025-04-08,5.4,108,60.04,45.0,Ajay,184,Printer_A
Kitchen King Masala,Masala,1kg,B02235,2024-08-13,85.0,85,88.42,69.01,Ajay,72,Printer_A
Biryani Pulav Masala,Masala,200gm,B02236,2025-04-11,18.6,93,95.15,51.27,Ajay,35,Printer_B
Tikhat Mirchi Powder,Masala,100gm,B02237,2025-06-02,12.0,120,47.93,42.13,Priya,30,Printer_C
Mango Pickle,Pickle,500gm,B02238,2023-04-20,67.0,134,83.62,69.69,Neha,295,Printer_B
Green Chilly Pickle,Pickle,50gm,B02239,2025-11-28,2.9,58,49.75,35.91,Neha,104,Printer_A
8+2 Mirchi Powder,Masala,200gm,B02240,2023-12-28,18.4,92,142.03,110.75,Ajay,280,Printer_A
Shengdana Chatani,Chutney,1kg,B02241,2025-01-21,84.0,84,92.07,57.57,Sunil,100,Printer_C
Papad,Papad,500gm,B02242,2023-07-13,54.0,108,109.97,75.4,Sunil,106,Printer_C
Green Chilly Pickle,Pickle,500gm,B02243,2024-04-22,34.0,68,43.14,38.38,Ravi,214,Printer_C
